department_name,county_fips_code
Adams County Fire Protection District,80010
Albuquerque Fire Rescue,35001
Alexandria Fire Department,51510
Anne Arundel County Fire Department,24003
Asheville Fire Department,37021
Beavercreek Township Fire Department,39057
Bellevue Fire Department,53033
Boston Fire Department,25025
Broward County Sheriffs Office Department of Fire Rescue,12011
Cape Coral Fire Department,12071
Carmel Fire Department,18057
Cedar Rapids Fire Department,19113
Cicero Fire Department,18057
City of Casa Grande Fire Department,40210
City of Fairfax Fire Department,51059
City of Fort Myers Fire Department,12071
City of Roseville Fire Department,60610
City of Saint Paul Fire Department,27123
City of Westfield Fire Department,18057
Columbus Division of Fire,39049
Coral Gables Fire and Rescue Department,12086
Delaware Fire Department,39041
Delray Beach Fire-Rescue Department,12099
Des Moines Fire Department,19153
East Pierce Fire and Rescue,53053
Fairfax County Fire and Rescue Department,51059
Fairmount Fire Protection District,80590
Fishers Fire and Emergency Services,18057
Golder Ranch Fire District,40190
Goodyear Fire Department,40130
Hall County Fire Services,13139
Iona McGregor Fire Protection and Rescue Service District,12071
Jackson County Fire District 3,41029
Jackson Township Fire Department,18057
Lexington Fire Department,21067
Los Angeles County Fire Department,60375
Loudoun County Fire Rescue and EMS,51107
Madison Fire Department,55025
Memphis Division of Fire Services,47157
Mesa Fire and Medical Department,40134
Miami-Dade Fire Rescue Department,12086
New Rochelle Fire Department,36119
Newport News Fire Department,51700
Noblesville Fire Department,18057
Northwest Fire District,40190
Olathe Fire Department,20091
Ontario Fire Department,60710
Orange County Fire Rescue Department,12095
Orlando Fire Department,12095
Palm Beach County Fire Rescue,12099
Pasco Fire Department,53005
Phoenix Fire Department,40131
Plainfield Fire Protection District,17197
Richland Fire and Emergency Services,53005
Richmond Fire and Emergency Services,51760
Rincon Valley Fire District,40190
Riviera Beach Fire Rescue,12099
Rogers Fire Department,50070
Sacramento Metropolitan Fire District,60670
San Francisco Fire Department,60750
Sheridan Fire Department,18057
Simsbury Volunteer Fire Department,90034
Somerton Cocopah Fire Department,40270
South Adams County Fire Protection District,80010
Southern Platte Fire Protection District,29165
Spokane Valley Fire Department,53063
St Louis Park Fire Department,27053
St Lucie County Fire District,12111
Starwest Tech RMZ,12071
The Villages Public Safety Department,12119
Toms River Fire District 1,34029
Torrington Fire Department,90053
Town of Manchester Fire-Rescue-EMS Department,90035
Tucson Fire Department,40190
Upper Providence Township Department of Fire and Emergency Services,42091
Washington DC Fire & EMS Department,11001
Wayne Township Volunteer Fire Department,18057
West Metro Fire Rescue,80590
West Palm Beach Fire Department,12099
